"Party","Know nothing","Know a little","Know a lot"
"All","34.75",42.46,"22.79"
"IND","67.64 (+)",26.88,"5.47"
"CON","48.78 (+)",41.62,"9.6 (-)"
"LAB","14.92 (-)",43.84,"41.24 (+)"
