"Nation","Know nothing","Know a little","Know a lot"
"All","37.56",46.85,"15.59"
"England","42.99 (+)",46.79,"10.22 (-)"
"Wales","0",71.89,"28.11"
"Scotland","0",22.23,"77.77 (+)"
