"Type","1","2","3","4","5,","Average score"
"quality",2.36,1.53,7.85,19.78,68.48,4.5
"transparency",4.67,0.1,7.67,17,70.56,4.49
"balanced",4.67,2.68,22.57,21.8,48.28,4.06
"numbers",4.67,2.49,29.3,27.42,36.13,3.88
"independent",4.67,9.01,26.94,23.51,35.87,3.77
"length",4.63,9.95,49.61,13.29,22.52,3.39
