"Party","Authoritative","Authoritative leaning","Consultative leaning","Consultative"
"All",0.28,"9.86","56.5","33.36"
"GRN",0,"54.54 (+)","34.85","10.61"
"LD",0,"37.01 (+)","46.98","16.02"
"LAB",0.86,"4.64","73.65 (+)","20.86 (-)"
"CON",0,"2.6 (-)","41.52 (-)","55.88 (+)"
