"Party","Not appropriate","No opinion","Appropriate"
"All","14.54","15","70.46"
"CON","28.13 (+)","27.66 (+)","44.22 (-)"
"LAB","4.82 (-)","6.3","88.88 (+)"
"LD","5.37","1.79","92.84 (+)"
