"Party","Not appropriate","No opinion","Appropriate"
"All","12.79","8.48","78.73"
"CON","26.16 (+)","16.2 (+)","57.63 (-)"
"LAB","3.86 (-)","1.27","94.86 (+)"
"LD","0","0","100 (+)"
