"Type","Know nothing","know a little","Know a lot","Average score"
"Local.forums",12.52,41.1,46.38,1.34
"Citizens.assemblies",20.91,57.63,21.46,1.01
"Co.production.of.services",34.75,42.46,22.79,0.88
"Participatory.budgeting",37.56,46.85,15.59,0.78
"Civic.crowdfunding",35.2,53.58,11.22,0.76
"Citizen.juries",57.96,32.6,9.44,0.51
